Marka,Model,Godiste,Cena,Datum
Opel,Astra H,2005,2700,10.1.2016.
Volkswagen,Golf 4,2002,2350,15.01.2016.
Kia,Sportage,2011,10000,2.2.2016.
Opel,Mokka,2015,10500,18.2.2016.
Opel,Insignia,2016,9000,1.3.2016.
Volkswagen,Passat B7,2013,9500,29.3.2016.
Audi,A4,2016,23000,11.5.2016.
Toyota,Yaris,2006,3000,20.8.2016.
Kia,Venga,2010,4200,20.8.2016.
Audi,A3,2006,5100,10.10.2016.
Dacia,Sandero,2015,7000,2.2.2017.
Citroen,C5,2011,6800,10.4.2017.
Peugeot,307,2002,1800,13.4.2017.
Audi,A4,2005,5000,7.6.2017.
peugeot,5008,2012,12000,27.11.2017.
Opel,Astra J,2013,7400,28.11.2017.
Dacia,Logan,2010,4500,1.12.2017.
Citroen,C4,2008,6000,3.12.2017.
Kia,Sportage,2010,8100,4.1.2018.
Toyota,Yaris,2009,6550,10.1.2018.
Toyota,Yaris,2009,6000,1.2.2018.
Kia,Ceed,2011,8800,11.2.2018.
Volkswagen,Golf 7,2014,13900,11.3.2018.
Audi,A5,2017,28000,11.4.2018.
BMW,X6,2015,30000,12.5.2018.
Fiat,Stilo,2004,2000,3.6.2018.
BMW,X5,2017,25300,10.7.2018.
Audi,A7,2018,48000,15.7.2018.
Volvo,XC60,2011,12000,16.9.2018.
Volvo,XC60,2015,19000,3.4.2019.
Opel,Antara,2015,15000,4.5.2019.
BMW,320,2007,7000,20.6.2019.
Fiat,Punto,2011,3800,8.7.2019.
BMW,520,2008,9200,8.8.2019.
Opel,Insignia,2019,25500,10.10.2019.
Fiat,Punto,2005,2100,12.10.2019.
BMW,X7,2019,49000,12.11.2019.
Fiat,Stilo,2002,1500,27.1.2020.
Volvo,XC40,2010,7900,21.2.2020.
Audi,A7,2015,20000,3.3.2020.
Fiat,Stilo,2000,1200,9.4.2020.
Fiat,Croma,2005,3500,8.5.2020.
Volvo,XC40,2008,5600,10.5.2020.
Toyota,Corolla,2010,5850,15.5.2020.
Audi,A3,2018,16200,16.5.2020.
Opel,Corsa D,2010,6500,22.5.2020.
BMW,118,2009,5000,23.5.2020.
BMW,320,2015,16000,1.6.2020.
Volvo,XC90,2018,27200,10.6.2020.
Opel,Insignia,2015,7500,19.6.2020.
Opel,Corsa,2010,5400,19.6.2020.
